"suppliers_id","contracts_numb","avrg_contract_value","tot_wagons","suppliers_name"
"39550655",25,706.935810810811,765,"ТОВ ""КОМПАНІЯ ГРАНО"""
"39695986",103,594.63691629956,9060,"ТОВ ""ДІ СІ ЕЙЧ ЛОГІСТИКА"""
"39839239",45,581.135575221239,1890,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТОРГОВИЙ ДІМ ""КІРОВОГРАДГРАНІТ"""
"39910190",37,589.695741935484,1260,"Товариство з обмеженою відповідальністю «Гранбудінвест»"
"39964005",3,840.086153846154,285,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ  «МІЖНАРОДНИЙ ТРАНСПОРТНИЙ МЕНЕДЖМЕНТ»"
"39995211",10,636.198787878788,690,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗЕРТЕК"""
"40000624",1,360.8,20,"ТОВ ""ІНЕРТ 1520"""
"40001366",44,528.726391752577,795,"ТОВ ""ТЕП Вертикаль"""
"40027426",83,486.62788,2365,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВОЗНЕСЕНСЬКЕ ПІДПРИЄМСТВО ""АГРОСИЛА """
"40341954",28,505.945652173913,1330,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВЕСТТРАНСБУД"""
"40427580",4,1218.18181818182,594,"ТОВ ""ГРЕЙН ПАУЕР"""
"40637304",384,633.242212290503,11655,"ТОВ ""КСК-ТРЕЙД"""
"40711890",6,388.248,30052,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНТВАЙС"""
"40807713",66,489.33940397351,1885,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТІП-ТРАНС"""
"40894633",2,540.742,40,"ТОВ ""РЕАЛ-ТРЕНД"""
"40928709",1,727.04,108,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТРАНСАГРО-М"""
"40949514",197,549.316043478261,5470,"Товариство з обмеженою відповідальністю ""АВТОСТРАДА ГАРАНТ"""
"40960674",1,480,15000,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""НІКА ТРАНС ЛОГІСТИКА"""
"41159141",90,477.862177121771,4715,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПОРТО ТРЕЙД"""
"41180791",3,689.494545454545,110,"Товариство з обмеженою відповідальністю ""АЙ.ДІ ТРАНС"""
"41202812",1,911.02,20,"ТОВ ""НЕРУД ЦЕНТР"""
"41245502",1,480,15,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОДЕСЬКИЙ ТРАНСПОРТНО-ЛОГІСТИЧНИЙ ЦЕНТР"""
"41272929",1,1158.72,30,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТРАНСПОРТНА КОМПАНІЯ ""СЛАРУС"""
"41302717",17,592.345833333333,1065,"ТЗОВ ""КОМПАНІЯ УКРГРАНІТ"""
"41373222",485,649.680027979854,15490,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АС-ГРАНІТ"""
"41395864",4,770.324,145,"Товариство з обмеженою відповідальністю ""Юнікорнс"""
"41424236",19,540.534893617021,610,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВЕСТТРЕЙД"""
"41428805",11,708.026363636364,220,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ІННОВАЦІЙНА ТРАНСПОРТНА КОМПАНІЯ»"
"41446908",12,1152.76555555556,540,"ТОВ ""Лідерагро"""
"41512095",2,1158.125,330,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТРАНС-ГРЕЙН"""
"41564379",82,846.016578947368,3400,"ТОВ ""ГРЕЙНСВАРД"""
"41640716",26,987.819541284404,1212,"Товариство з обмеженою відповідальністю ""КОМПАНІЯ ТРАНСКО"""
"41816844",14,742.780392156863,788,"ТОВ ""ЕМ-ТРАНС"""
"41865870",94,709.781626666667,5440,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СТЛК"""
"41935544",1,1150,40,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РЕАЛТРАНС ТЕК"""
"42048956",110,592.858511749347,4050,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВЕКТОР ТРАНС УКРАЇНА"""
"42061804",6,833.348292682927,730,"ТОВ ""ТРАНСПОІНТЕР"""
"42293473",8,911.065,440,"ТОВ ""УКРРЕСУРС ГРУП"""
"42346341",88,496.53734939759,3500,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕС ЕЙ ЛОГІСТИКА"""
"42366808",26,652.647876106195,1330,"ТЗОВ ""С.О. ГРУП"""
"42541071",31,569.496229508197,2620,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""НІДЕРА АГРО""
"
"42678269",7,358.545,110,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МВК ТРАНС"""
"42717192",23,701.950952380952,505,"ТОВ ""ДСЛ КОМПАНІ"""
"42805973",9,635.9825,1200,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АГРО ПРОМ ЛОГІСТІК"" "
"42892863",12,1098.52111111111,390,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗАГАРОВ"""
"42957349",4,353.6,100,"ТОВ ""ІПК ВЕРТИКАЛЬ"""
"42972901",43,634.159585798817,1105,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТРАНСНАЦІОНАЛЬНА ЛОГІСТИЧНА КОМПАНІЯ"""
"43072659",2,793.6,25,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГІРНИЧІ ІНДУСТРІАЛЬНІ ТЕХНОЛОГІЇ"""
"43213823",15,858.86,685,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗЕРНО-ТЕК"""
"43372498",3,348,300,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТРАНСІНВЕСТКОМПАНІ"""
"43465875",5,718.787407407407,210,"ТОВ ""НЕО ПРОМ"""
"43479228",1,411,10,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕЛІНТЕРТРАНС-УКРАЇНА"""
"43700834",2,732.571428571429,140,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАВОРИТ-БУД-ІЗМАЇЛ"""
