"month","value_UAH"
2020-02-01,307889436.65
2020-03-01,445449935.6
2020-04-01,338731522.6
2020-05-01,267440927.44
2020-06-01,403330432.7
2020-07-01,290755746.58
2020-08-01,268063395.2
2020-09-01,223593894.55
2020-10-01,298791649.9
2020-11-01,308593531.02
2020-12-01,420452501.25
2021-01-01,246044985.14
2021-02-01,260017422.87
2021-03-01,356019995.93
